country,region,plan_name,pub_yr,MPA,MPA_designation,climate_considering,climate_robustness_score
Canada,Canada,Smelt Bay Provincial Park Master Plan,1987,Smelt Bay Provincial Park,Provincial Park,no,NA
Canada,Canada,Smuggler Cove Provincial Marine Park Master Plan,1985,Smuggler Cove Provincial Marine Park,Provincial Marine Park,no,NA
Canada,Canada,Strathcona Provincial Park Master Plan,1993,Strathcona Provincial Park,Provincial Park,no,NA
Canada,Canada,Sulphur Passage Provincial Park Purpose Statement and Zoning Plan,2003,Sulphur Passage Provincial Park,Provincial Park,no,NA
Canada,Canada,Surge Narrows Provincial Park Purpose Statement and Zoning Plan,2003,Surge Narrows Provincial Park,Provincial Park,no,NA
Canada,Canada,Syndey Inlet Provincial Park Purpose Statement and Zoning Plan,2003,Sydney Inlet Provincial Park,Provincial Park,no,NA
Canada,Canada,Tahsish-Kwois Provincial Park Purpose Statement and Zoning Plan,2003,Tahsish-Kwois Provincial Park,Provincial Park,no,NA
Canada,Canada,Tahsish River Ecological Reserve Purpose Statement,2003,Tahsish River Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Tarium Niryutait Marine Protected Area Management Plan,2013,Tarium Niryutait Marine Protected Area,Marine Protected Area,yes,7
Canada,Canada,Teakerne Arm Marine Provincial Park Purpose Statement and Zoning Plan,2003,Teakerne Arm Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Ten Mile Point Ecological Reserve Purpose Statement,2003,Ten Mile Point Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Thurston Bay Marine Provincial Park Purpose Statement and Zoning Plan,2003,Thurston Bay Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Tlall Management Plan,2011,Tlall Conservancy,Conservancy,yes,NA
Canada,Canada,Tofino Mudflats Wildlife Management Area Management Plan,2002,Tofino Mudflats Wildlife Management Area,Wildlife Management Area,no,NA
Canada,Canada,"Ugwiwa’ / Cape Caution Conservancy, Ugwiwa’ / Cape Caution - Blunden Bay Conservancy & Allison Harbour Marine Park Management Plan",2013,Allison Harbour Marine Park,Marine Park,yes,NA
Canada,Canada,"Ugwiwa’ / Cape Caution Conservancy, Ugwiwa’ / Cape Caution - Blunden Bay Conservancy & Allison Harbour Marine Park Management Plan",2013,Ugwiwey / Cape Caution-Blunden Bay Conservancy,Conservancy,yes,NA
Canada,Canada,"Ugwiwa’ / Cape Caution Conservancy, Ugwiwa’ / Cape Caution - Blunden Bay Conservancy & Allison Harbour Marine Park Management Plan",2013,Ugwiwey / Cape Caution Conservancy,Conservancy,yes,NA
Canada,Canada,Ukkusiksalik National Park of Canada Management Plan,2018,Ukkusiksalik National Park of Canada,National Park,yes,NA
Canada,Canada,Vargas Island Provincial Park Purpose Statement and Zoning Plan,2003,Vargas Island Provincial Park,Provincial Park,no,NA
Canada,Canada,W'aw'a? / Seymour Estuary Conservancy Management Plan,2013,W'aw'a? / Seymour Estuary Conservancy,Conservancy,yes,NA
Canada,Canada,Wakes Cove Park Management Plan,2017,Wakes Cove Park,Park,yes,NA
Canada,Canada,Wallace Bay National Wildlife Area Management Plan,2016,Wallace Bay National Wildlife Area,National Wildlife Area,yes,NA
Canada,Canada,Walsh Cove Marine Provincial Park Purpose Statement and Zoning Plan,2003,Walsh Cove Provincial Park,Provincial Park,no,NA
Canada,Canada,Wapusk National Park of Canada Management Plan,2017,Wapusk National Park of Canada,National Park,yes,NA
Canada,Canada,Whaleboat Island Marine Provincial Park Purpose Statement and Zoning Plan,2003,Whaleboat Island Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Yaaguun Gandlaay Management Plan,2011,Yaaguun Gandlaay Conservancy,Conservancy,yes,NA
Ghana,Africa,Coastal Wetlands Management Plans: Ghana,1991,"Densu Delta Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Ghana,Africa,Coastal Wetlands Management Plans: Ghana,1991,"Muni Lagoon Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Ghana,Africa,Coastal Wetlands Management Plans: Ghana,1991,"Sakumo Lagoon Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Ghana,Africa,Coastal Wetlands Management Plans: Ghana,1991,"Songor Lagoon Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Grenada,Caribbean,"Moliniere-Beausejour Marine Protected Area, Grenada: Management Plan",2014,Moliniere-Beausejour Marine Protected Area,Marine Protected Area,no,11
Grenada,Caribbean,"Moliniere-Beausejour Marine Protected Area, Grenada: Management Plan",2014,Moliniere-Beausejour Specially Protected Area,Specially Protected Area,no,11
Ireland,Europe,National Parks and Wildlife Service Conservation Plan - Ardmore Head Special Area of Conservation,2005,Ardmore Head Special Area of Conservation,Special Area of Conservation,no,NA
Ireland,Europe,National Parks and Wildlife Service Conservation Plan - Ballyhoorisky Point to Fanad Head Special Area of Conservation,2005,Ballyhoorisky Point to Fanad Head Special Area of Conservation,Special Area of Conservation,no,NA
Ireland,Europe,National Parks and Wildlife Service Conservation Plan - Ballyness Bay Special Area of Conservation,2005,Ballyness Bay Special Area of Conservation,Special Area of Conservation,no,NA
Ireland,Europe,National Parks and Wildlife Service Conservation Plan - Streedagh Point Dunes Special Area of Conservation,2006,Streedagh Point Dunes Special Area of Conservation,Special Area of Conservation,no,NA
Ireland,Europe,National Parks and Wildlife Service Conservation Plan - Termon Strand Special Area of Conservation,2005,Termon Strand Special Area of Conservation,Special Area of Conservation,no,NA
Marshall Islands,Oceania,Ailinginae Atoll Conservation Management Plan,2002,Ailinginae Conservation Area,Conservation Area,yes,NA
Marshall Islands,Oceania,Bikini Atoll Conservation Management Plan,2010,Bikini Conservation Area,Conservation Area,yes,NA
Marshall Islands,Oceania,Bikirin Island Management Plan,2013,Bikirin Island Conservation Area,Conservation Area,no,NA
Marshall Islands,Oceania,Draft Likiep Atoll Local Government Fisheries Management Plan,2006,Likiep Atoll Conservation Area,Conservation Area,no,NA
Marshall Islands,Oceania,Jaluit Atoll Conservation Area: Environmental Resource Management Plan - Background Report,2002,Jaluit Conservation Area,Conservation Area,no,NA
Marshall Islands,Oceania,Jaluit Atoll Conservation Area: Environmental Resource Management Plan - Background Report,2002,"Jaluit Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Marshall Islands,Oceania,Resources Management Plan for Namdrik Atoll,2007,"Namdrik Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,NA
Netherlands,Europe,Integrated Management Plan for the North Sea,2015,Doggersbank Marine Protected Area,Marine Protected Area,no,NA
Netherlands,Europe,Integrated Management Plan for the North Sea,2015,Klaverbank Marine Protected Area,Marine Protected Area,no,NA
Netherlands,Europe,Integrated Management Plan for the North Sea,2015,"North Sea Coastal Area Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Netherlands,Europe,Man Of War Shoal Marine Park Management Plan,2011,Man of War Shoal Marine Park,Marine Park,yes,5
Netherlands,Europe,Man Of War Shoal Marine Park Management Plan,2011,Man of War Shoal Marine Park Specially Protected Area,Specially Protected Area,yes,5
Netherlands,Europe,Saba Bank Special Marine Area Management Plan,2008,Saba Bank Special Marine Area,Special Marine Area,yes,10
Netherlands,Europe,Saba Bank Special Marine Area Management Plan,2008,Saba Bank Specially Protected Area,Specially Protected Area,yes,10
Netherlands,Europe,Wadden Sea Plan,2010,"Wadden Sea Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,16
Netherlands,Europe,Wadden Sea Plan,2010,Wadden Sea Special Protection Area,Special Protection Area,yes,16
Philippines,Asia,Management Plan - Tubbataha Reefs Natural Park & World Heritage Site,2010,Tubbataha Reefs Natural Park & World Heritage Site,Natural Park & World Heritage Site,yes,14
Philippines,Asia,Management Plan - Tubbataha Reefs Natural Park & World Heritage Site,2010,"Tubbataha Reefs Natural Park Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,14
Philippines,Asia,Management Plan for the Olango Wildlife Sanctuary,1992,Olango Island Wildlife Sanctuary,Wildlife Sanctuary,no,NA
Philippines,Asia,Management Plan for the Olango Wildlife Sanctuary,1992,"Olango Island Wildlife Sanctuary Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Saint Helena,Africa,Gough and Inaccessible Islands World Heritage Site Management Plan,2010,"Gough Island Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,14
Saint Helena,Africa,Gough and Inaccessible Islands World Heritage Site Management Plan,2010,"Inaccessible Island Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,14
Saint Helena,Africa,St. Helena Marine Management Plan,2016,St. Helena Marine Protected Area,Marine Protected Area,yes,3
Seychelles,Africa,Aldabra Atoll Management Plan,2016,"Aldabra Atoll Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,14
Seychelles,Africa,Aldabra Atoll Management Plan,2016,Aldabra Atoll Special Reserve,Special Reserve,yes,14
South Africa,Africa,Addo Elephant National Park - Park Management Plan,2015,Bird Island Marine Protected Area,Marine Protected Area,yes,5
St. Lucia,Caribbean,Pointe Sable Environmental Protection Area Management Plan,2009,"Mankote Mangrove Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,0
St. Lucia,Caribbean,Pointe Sable Environmental Protection Area Management Plan,2009,Savannes Bay and Scorpion Island Marine Reserve,Marine Reserve,yes,0
St. Lucia,Caribbean,Pointe Sable Environmental Protection Area Management Plan,2009,"Savannes Bay Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,0
St. Vincent and the Grenadines,Caribbean,Tobago Cays Marine Park Management Plan,2007,Tobago Cays-Mayreau Specially Protected Area,Specially Protected Area,yes,7
St. Vincent and the Grenadines,Caribbean,Tobago Cays Marine Park Management Plan,2007,Tobago Cays Marine Park,Marine Park,yes,7
Sudan,Africa,Sanganeb Marine National Park - Site-Specific Master Plan with Management Guidelines,2004,Sanganeb Marine National Park,Marine National Park,no,NA
Tanzania,Africa,Chumbe Island 3rd Ten Year Management Plan,2017,Chumbe Island Coral Park,Park,yes,17
United Kingdom,UK,Alderney West Coast and Burhou Islands - Ramsar Site Management Strategy,2012,"Alderney West Coast and the Burhou Islands Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,8
United Kingdom,UK,"Ascrib, Isay and Dunvegan Special Area of Conservation: Scottish Natural Heritage Advice Under Regulation 33(2)",2006,"Ascrib, Isay and Dunvegan Special Area of Conservation",Special Area of Conservation,no,NA
United Kingdom,UK,Belfast Lough Open Water Special Protection Area Conservation Objectives,2015,Belfast Lough Open Water Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Belfast Lough Special Protection Area Conservation Objectives,2015,"Belfast Lough Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
United Kingdom,UK,Belfast Lough Special Protection Area Conservation Objectives,2015,Belfast Lough Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Berwickshire and North Northumberland Coast European Marine Site Management Scheme,2014,Berwickshire and North Northumberland Coast Special Area of Conservation,Special Area of Conservation,yes,9
United Kingdom,UK,Berwickshire and North Northumberland Coast European Marine Site Management Scheme,2014,Lindisfarne Special Protection Area,Special Protection Area,yes,9
United Kingdom,UK,"Cardigan Bay
 European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of The Conservation Regulations",2009,Cardigan Bay Special Area of Conservation,Special Area of Conservation,yes,6
United Kingdom,UK,"Cardigan Bay
 European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of The Conservation Regulations",2009,Cardigan Bay Special Protection Area,Special Protection Area,yes,6
United Kingdom,UK,"Carmarthen Bay and Estuaries / Bae Caerfyrddin ac Aberoedd 
European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of the Conservation Regulations",2009,"Burry Inlet Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,8
United Kingdom,UK,"Carmarthen Bay and Estuaries / Bae Caerfyrddin ac Aberoedd 
European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of the Conservation Regulations",2009,Burry Inlet Special Protection Area,Special Protection Area,yes,8
United Kingdom,UK,"Carmarthen Bay and Estuaries / Bae Caerfyrddin ac Aberoedd 
European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of the Conservation Regulations",2009,Carmarthen Bay / Bae Caerfyrddin Special Protection Area,Special Protection Area,yes,8
United Kingdom,UK,"Carmarthen Bay and Estuaries / Bae Caerfyrddin ac Aberoedd 
European Marine Site: Advice Provided by the Countryside Council for Wales in Fulfilment of Regulation 33 of the Conservation Regulations",2009,Carmarthen Bay and Estuaries / Bae Caerfyrddin ac Aberoedd Special Area of Conservation,Special Area of Conservation,yes,8
United Kingdom,UK,Conservation Objectives and Advice to Support Management: East Mingulay Special Area of Conservation,2019,East Mingulay Special Area of Conservation,Special Area of Conservation,yes,13
United Kingdom,UK,"Conservation Objectives and Potential Management Options: 
Carlingford Lough
 Marine Conservation Zone",2014,Carlingford Lough Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,"Conservation Objectives and Potential Management Options: 
Carlingford Lough
 Marine Conservation Zone",2014,"Carlingford Lough Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
United Kingdom,UK,"Conservation Objectives and Potential Management Options: 
Carlingford Lough
 Marine Conservation Zone",2014,Carlingford Lough Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,"Conservation Objectives and Potential Management Options: 
Carlingford Lough
 Marine Conservation Zone",2014,Carlingford Lough Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Conservation Objectives for Anton Dohrn Seamount Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Anton Dohrn Seamount Special Area of Conservation,Special Area of Conservation,yes,11
United Kingdom,UK,Conservation Objectives for Bassurelle Sandbank Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Bassurelle Sandbank Special Area of Conservation,Special Area of Conservation,yes,6
United Kingdom,UK,Conservation Objectives for Central Fladen Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Central Fladen Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,NA
United Kingdom,UK,Conservation Objectives for Croker Carbonate Slabs candidate Special Area of Conservation and Site of Community Importance: Advice from the Joint Nature Conservation Committee,2018,Croker Carbonate Slabs Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Darwin Mounds Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Darwin Mounds Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Dogger Bank Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Dogger Bank Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for East of Gannet and Montrose Fields Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,East of Gannet & Montrose Fields Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,16
United Kingdom,UK,Conservation Objectives for East of Haig Fras Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,East of Haig Fras Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for East Rockall Bank Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,East Rockall Bank Special Area of Conservation,Special Area of Conservation,yes,11
United Kingdom,UK,Conservation Objectives for Faroe-Shetland Sponge Belt Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Faroe-Shetland Sponge Belt Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,6
United Kingdom,UK,Conservation Objectives for Firth of Forth Banks Complex Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Firth of Forth Banks Complex Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,12
United Kingdom,UK,Conservation Objectives for Fulmar Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,Fulmar Marine Conservation Zone,Marine Conservation Zone,yes,6
United Kingdom,UK,Conservation Objectives for Geikie Slide and Hebridean Slope Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Geikie Slide and Hebridean Slope Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,NA
United Kingdom,UK,Conservation Objectives for Greater Haig Fras Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,Greater Haig Fras Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for Haig Fras Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Haig Fras Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Hatton-Rockall Basin Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Hatton-Rockall Basin Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,9
United Kingdom,UK,Conservation Objectives for Hatton Bank candidate Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Hatton Bank Special Area of Conservation,Special Area of Conservation,yes,9
United Kingdom,UK,Conservation Objectives for North-East Faroe-Shetland Channel Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,North-east Faroe-Shetland Channel Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,10
United Kingdom,UK,Conservation Objectives for North-West of Jones Bank Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,North-West of Jones Bank Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for North-west Orkney Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,North-west Orkney Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,NA
United Kingdom,UK,Conservation Objectives for North East of Farnes Deep Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,North East of Farnes Deep Marine Conservation Zone,Marine Conservation Zone,yes,6
United Kingdom,UK,Conservation Objectives for North West Rockall Bank Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,North West Rockall Bank Special Area of Conservation,Special Area of Conservation,yes,11
United Kingdom,UK,Conservation Objectives for Norwegian Boundary Sediment Plain Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Norwegian Boundary Sediment Plain Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,10
United Kingdom,UK,Conservation Objectives for Offshore Brighton Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,Offshore Brighton Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for Papa Stour Special Area of Conservation: Scottish Natural Heritage Advice Under Regulation 33(2),2006,Papa Stour Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Conservation Objectives for Pisces Reef Complex Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Pisces Reef Complex Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Rosemary Bank Seamount Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Rosemary Bank Seamount Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,9
United Kingdom,UK,Conservation Objectives for Scanner Pockmark Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Scanner Pockmark Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for South-West Deeps (West) Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,South West Deeps (West) Marine Conservation Zone,Marine Conservation Zone,yes,5
United Kingdom,UK,Conservation Objectives for Stanton Banks Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Stanton Banks Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Swallow Sand Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,Swallow Sand Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for The Barra Fan and Hebrides Terrace Seamount Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,The Barra Fan and Hebrides Terrace Seamount Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,9
United Kingdom,UK,"Conservation Objectives for the Braemar Pockmarks Special
 Area of Conservation: Advice from the Joint Nature Conservation Committee",2018,Braemar Pockmarks Special Area of Conservation,Special Area of Conservation,yes,6
United Kingdom,UK,Conservation Objectives for The Canyons Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,The Canyons Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for the North Norfolk Sandbanks and Saturn Reef Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2017,North Norfolk Sandbanks and Saturn Reef Special Area of Conservation,Special Area of Conservation,yes,8
United Kingdom,UK,Conservation Objectives for Turbot Bank Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,Turbot Bank Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,NA
United Kingdom,UK,Conservation Objectives for West Shetland Shelf Nature Conservation Marine Protected Area: Advice from the Joint Nature Conservation Committee,2018,West Shetland Shelf Nature Conservation Marine Protected Area,Nature Conservation Marine Protected Area,yes,NA
United Kingdom,UK,Conservation Objectives for Western Channel Marine Conservation Zone: Advice from the Joint Nature Conservation Committee,2018,Western Channel Marine Conservation Zone,Marine Conservation Zone,no,NA
United Kingdom,UK,Conservation Objectives for Wight-Barfleur Reef Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Wight-Barfleur Reef Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Conservation Objectives for Wyville-Thomson Ridge Special Area of Conservation: Advice from the Joint Nature Conservation Committee,2018,Wyville Thomson Ridge Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Carmarthen Bay Dunes / Twyni Bae Caerfyrddin Special Area of Conservation,2008,Carmarthen Bay Dunes / Twyni Bae Caerfyrddin Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives For Dyfi Estuary / Aber Dyfi Special Protection Area,2008,Dyfi Estuary / Aber Dyfi Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Glannau Aberdaron and Ynys Enlli / Aberdaron Coast and Bardsey Island Special Protection Area,2008,Clogwyni Pen Llyn Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Glannau Aberdaron and Ynys Enlli / Aberdaron Coast and Bardsey Island Special Protection Area,2008,Glannau Aberdaron and Ynys Enlli / Aberdaron Coast and Bardsey Island Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Glannau Aberdaron and Ynys Enlli / Aberdaron Coast and Bardsey Island Special Protection Area,2008,Pen Llyn a'r Sarnau Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Grassholm Special Protection Area,2008,Grassholm National Nature Reserve,National Nature Reserve,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Grassholm Special Protection Area,2008,Grassholm Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Grassholm Special Protection Area,2008,Grassholm Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Kenfig / Cynffig Special Area of Conservation,2008,Kenfig / Cynffig Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Limestone Coast of South West Wales / Arfordir Calchfaen de Orllewin Cymru Special Area of Conservation (Incorporating Castlemartin Coast Special Protection Area),2008,Castlemartin Coast Special Protection Area,Special Protection Area,yes,8
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Limestone Coast of South West Wales / Arfordir Calchfaen de Orllewin Cymru Special Area of Conservation (Incorporating Castlemartin Coast Special Protection Area),2008,Limestone Coast of South West Wales / Arfordir Calchfaen de Orllewin Cymru Special Area of Conservation,Special Area of Conservation,yes,8
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Morfa Harlech a Morfa Dyffryn Special Area of Conservation,2008,Morfa Harlech A Morfa Dyffryn Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Skomer and Skokholm Special Protection Area,2008,Pembrokeshire Marine Special Area of Conservation,Special Area of Conservation,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Skomer and Skokholm Special Protection Area,2008,Skokholm and Skomer Special Protection Area,Special Protection Area,no,NA
United Kingdom,UK,Core Management Plan Including Conservation Objectives for Skomer and Skokholm Special Protection Area,2008,Skomer Marine Nature Reserve,Marine Nature Reserve,no,NA
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Traeth Lafan / Lavan Sands, Conway Bay Special Protection Area",2008,"Traeth Lafan / Lavan Sands, Conway Bay Special Protection Area",Special Protection Area,no,NA
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Traeth Lafan / Lavan Sands, Conway Bay Special Protection Area",2008,Traeth Lafan Local Nature Reserve,Local Nature Reserve,no,NA
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Y Twyni o Abermenai i Aberffraw / Abermenai to 
Aberffraw Dunes Special Area of Conservation, Glannau Mon: Cors Heli 
/ Anglesey Coast: Saltmarsh Special Area of Conservation, Newborough Warren - Ynys Llanddwyn Site of Special Scientific Interest, Tywyn Aberffraw Site of Special Scientific Interest, & Morfa Dinlle Site of Scientific Interest",2008,Glannau Mon: Cors Heli / Anglesey Coast: Saltmarsh Special Area of Conservation,Special Area of Conservation,yes,10
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Y Twyni o Abermenai i Aberffraw / Abermenai to 
Aberffraw Dunes Special Area of Conservation, Glannau Mon: Cors Heli 
/ Anglesey Coast: Saltmarsh Special Area of Conservation, Newborough Warren - Ynys Llanddwyn Site of Special Scientific Interest, Tywyn Aberffraw Site of Special Scientific Interest, & Morfa Dinlle Site of Scientific Interest",2008,Y Twyni o Abermenai i Aberffraw / Abermenai to Aberffraw Dunes Special Area of Conservation,Special Area of Conservation,yes,10
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Ynys Feurig, Cemlyn Bay and The Skerries Special Protection Area, Cemlyn Bay Special Area of Conservation, Ynys Feurig Site of Special Scientific Interest, The Skerries Site of Special Scientific Interest, and Cemlyn Bay Site of Special Scientific Interest",2008,Cemlyn Bay Special Area of Conservation,Special Area of Conservation,yes,NA
United Kingdom,UK,"Core Management Plan Including Conservation Objectives for Ynys Feurig, Cemlyn Bay and The Skerries Special Protection Area, Cemlyn Bay Special Area of Conservation, Ynys Feurig Site of Special Scientific Interest, The Skerries Site of Special Scientific Interest, and Cemlyn Bay Site of Special Scientific Interest",2008,"Ynys Feurig, Cemlyn Bay and The Skerries Special Protection Area",Special Protection Area,yes,NA
United Kingdom,UK,Deben Estuary European Marine Site: English Nature Advice Given Under Regulation 33(2) of the Conservation Regulations,2001,"Deben Estuary Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,7
United Kingdom,UK,Deben Estuary European Marine Site: English Nature Advice Given Under Regulation 33(2) of the Conservation Regulations,2001,Deben Estuary Special Area of Conservation,Special Area of Conservation,yes,7
