country,region,plan_name,pub_yr,MPA,MPA_designation,climate_considering,climate_robustness_score
Australia,Oceania,Yawuru Nagulagun / Roebuck Bay Marine Park Joint Management Plan,2016,"Roebuck Bay Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,13
Australia,Oceania,Yawuru Nagulagun / Roebuck Bay Marine Park Joint Management Plan,2016,Yawuru Nagulagun / Roebuck Bay Marine Park,Marine Park,yes,13
Bahamas,Caribbean,Abaco Marine Parks General Management Plan,2017,Fowl Cays National Park,National Park,yes,7
Bahamas,Caribbean,Abaco Marine Parks General Management Plan,2017,Pelican Cays Land & Sea Park,National Park,yes,7
Bahamas,Caribbean,Abaco Marine Parks General Management Plan,2017,Walker's Cay National Park,National Park,yes,7
Bahamas,Caribbean,Management Plan for the South Berry Islands Marine Reserve,2009,South Berry Islands Marine Reserve,Marine Reserve,no,NA
Bahamas,Caribbean,Moriah Harbour Cay National Park General Management Plan,2018,Moriah Harbour Cay National Park,National Park,yes,4
Bahamas,Caribbean,San Salvador National Parks Management Plan,2017,Graham's Harbour Iguana and Seabird National Park,National Park,yes,NA
Bahamas,Caribbean,San Salvador National Parks Management Plan,2017,Green's Bay National Park,National Park,yes,NA
Bahamas,Caribbean,San Salvador National Parks Management Plan,2017,Pigeon Creek & Snow Bay National Park,National Park,yes,NA
Bahamas,Caribbean,San Salvador National Parks Management Plan,2017,West Coast Marine Park,Marine Park,yes,NA
Belize,Central America,Hol Chan Marine Reserve Management Plan,2002,Hol Chan Marine Reserve,Marine Reserve,no,NA
Belize,Central America,Hol Chan Marine Reserve Management Plan,2002,Hol Chan Specially Protected Area,Specially Protected Area,no,NA
Belize,Central America,Management Plan - Glover's Reef Marine Reserve & World Heritage Site,2008,Glover's Reef Marine Reserve,Marine Reserve,yes,10
Belize,Central America,Management Plan - Glover's Reef Marine Reserve & World Heritage Site,2008,Glover's Reef Specially Protected Area,Specially Protected Area,yes,10
Belize,Central America,Management Plan - Port Honduras Marine Reserve,2011,Port Honduras Marine Reserve,Marine Reserve,yes,16
Belize,Central America,Management Plan - Port Honduras Marine Reserve,2011,Port Honduras Specially Protected Area,Specially Protected Area,yes,16
Canada,Canada,Ahiak (Queen Maud Gulf) Migratory Bird Sanctuary Management Plan,2018,Ahiak (Queen Maud Gulf) Migratory Bird Sanctuary,Migratory Bird Sanctuary,yes,NA
Canada,Canada,Anne Vallee (Triangle Island) Ecological Reserve Purpose Statement,2003,Anne Vallee (Triangle Island) Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Apodaca Provincial Park Master Plan,1983,Apodaca Provincial Park,Provincial Park,no,NA
Canada,Canada,Aulavik National Park Management Plan Appendix E - Management of Migratory Bird Sanctuaries in the Inuvialuit Settlement Region,2019,Anderson River Delta Bird Sanctuary,Bird Sanctuary,no,NA
Canada,Canada,Aulavik National Park Management Plan Appendix E - Management of Migratory Bird Sanctuaries in the Inuvialuit Settlement Region,2019,Banks Island Bird Sanctuary No. 1,Bird Sanctuary,no,NA
Canada,Canada,Aulavik National Park Management Plan Appendix E - Management of Migratory Bird Sanctuaries in the Inuvialuit Settlement Region,2019,Banks Island Bird Sanctuary No. 2,Bird Sanctuary,no,NA
Canada,Canada,Aulavik National Park Management Plan Appendix E - Management of Migratory Bird Sanctuaries in the Inuvialuit Settlement Region,2019,Cape Parry Bird Sanctuary,Bird Sanctuary,no,NA
Canada,Canada,Aulavik National Park Management Plan Appendix E - Management of Migratory Bird Sanctuaries in the Inuvialuit Settlement Region,2019,Kendall Island Bird Sanctuary,Bird Sanctuary,no,NA
Canada,Canada,Aulavik National Park of Canada Management Plan,2012,Aulavik National Park of Canada,National Park,yes,2
Canada,Canada,Auyuittuq National Park of Canada Management Plan,2010,Auyuittuq National Park of Canada,National Park,yes,11
Canada,Canada,Baccalieu Island Ecological Reserve Management Plan and Regulations,1995,Baccalieu Island Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Baeria Rocks Ecological Reserve Purpose Statement,2003,Baeria Rocks Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Basin Head Marine Protected Area: 2014 Operational Management Plan,2014,Basin Head Marine Protected Area,Marine Protected Area,yes,8
Canada,Canada,Beresford Island Ecological Reserve Purpose Statement,2003,Beresford Island Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Big Bunsby Marine Provincial Park Purpose Statement and Zoning Plan,2003,Big Bunsby Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Bligh Island Marine Provincial Park Purpose Statement and Zoning Plan,2003,Bligh Island Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Bodega Ridge Provincial Park Purpose Statement and Zoning Plan,2003,Bodega Ridge Provincial Park,Provincial Park,no,NA
Canada,Canada,Boot Island National Wildlife Area Management Plan,2014,Boot Island National Wildlife Area,National Wildlife Area,yes,NA
Canada,Canada,Broughton Archipelago Provincial Park Purpose Statement and Zoning Plan,2003,Broughton Archipelago Provincial Park,Provincial Park,no,NA
Canada,Canada,Byers / Conroy / Harvey / Sinnett Islands Ecological Reserve Purpose Statement,2003,Byers / Conroy / Harvey / Sinnett Islands Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Cape Jourimain National Wildlife Area Management Plan,2018,Cape Jourimain National Wildlife Area,National Wildlife Area,yes,NA
Canada,Canada,Cape Scott Provincial Park Management Plan,2003,Cape Scott Provincial Park,Provincial Park,no,NA
Canada,Canada,Catala Island Marine Provincial Park Purpose Statement and Zoning Plan,2003,Catala Island Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Checleset Bay Ecological Reserve Purpose Statement,2003,Checleset Bay Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Chignecto National Wildlife Area Management Plan,2018,Chignecto National Wildlife Area,National Wildlife Area,yes,NA
Canada,Canada,Cormorant Channel Marine Provincial Park Purpose Statement and Zoning Plan,2003,Cormorant Channel Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Daawuuxusda Management Plan,2011,Daawuuxusda Conservancy,Conservancy,yes,NA
Canada,Canada,Damaxyaa Management Plan,2011,Damaxyaa Conservancy,Conservancy,yes,NA
Canada,Canada,Dawley Passage Provincial Park Purpose Statement and Zoning Plan,2003,Dawley Passage Provincial Park,Provincial Park,no,NA
Canada,Canada,Desolation Sound and Copeland Islands Marine Parks and Tux'wnech Okeover Arm Provincial Park Management Plan,2008,Copeland Islands Marine Park,Marine Park,no,NA
Canada,Canada,Desolation Sound and Copeland Islands Marine Parks and Tux'wnech Okeover Arm Provincial Park Management Plan,2008,Desolation Sound Marine Park,Marine Park,no,NA
Canada,Canada,Dixie Cove Marine Provincial Park Purpose Statement and Zoning Plan,2003,Dixie Cove Marine Provincial Park,Provincial Park,no,NA
Canada,Canada,Drumbeg Provincial Park and Gabriola Sands Provincial Park and Recreation Area Master Plan,1987,Drumbeg Provincial Park,Provincial Park,no,NA
Canada,Canada,Drumbeg Provincial Park and Gabriola Sands Provincial Park and Recreation Area Master Plan,1987,Gabriola Sands Provincial Park and Recreation Area,Provincial Park and Recreation Area,no,NA
Canada,Canada,Duke of Edinburgh Ecological Reserve Purpose Statement,2003,Duke Of Edinburgh (Pine / Storm / Tree Islands) Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Duu Guusd Management Plan,2011,Duu Guusd Conservancy,Conservancy,yes,NA
Canada,Canada,Eastport Marine Protected Areas Management Plan,2005,Eastport – Duck Islands Marine Protected Area,Marine Protected Area,no,NA
Canada,Canada,Eastport Marine Protected Areas Management Plan,2005,Eastport – Round Island Marine Protected Area,Marine Protected Area,no,NA
Canada,Canada,Echo Bay Marine Provincial Park Purpose Statement and Zoning Plan,2003,Echo Bay Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Endeavour Hydrothermal Vents Marine Protected Area Management Plan,2010,Endeavour Hydrothermal Vents Marine Protected Area,Marine Protected Area,yes,4
Canada,Canada,Epper Passage Provincial Park Purpose Statement and Zoning Plan,2003,Epper Passage Provincial Park,Provincial Park,no,NA
Canada,Canada,"Fillongley, Tribune Bay, Helliwell, & Sandy Island Provincial Parks Master Plan",1987,Tribune Bay Provincial Park,Provincial Park,no,NA
Canada,Canada,Flores Island Provincial Park Purpose Statement and Zoning Plan,2003,Flores Island Provincial Park,Provincial Park,no,NA
Canada,Canada,Francis Point Provincial Park and Ecological Reserve Management Plan,2008,Francis Point Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Francis Point Provincial Park and Ecological Reserve Management Plan,2008,Francis Point Provincial Park,Provincial Park,no,NA
Canada,Canada,Garden Bay Provincial Park Master Plan,2005,Garden Bay Provincial Park,Provincial Park,no,NA
Canada,Canada,Gilbert Bay Marine Protected Area Management Plan,2005,Gilbert Bay Marine Protected Area,Marine Protected Area,yes,9
Canada,Canada,God's Pocket Marine Provincial Park Purpose Statement and Zoning Plan,2003,God's Pocket Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Goldstream Provincial Park Master Plan,1993,Goldstream Provincial Park,Provincial Park,no,NA
Canada,Canada,Gowlland Tod Provincial Park Management Plan,1996,Gowlland Tod Provincial Park,Provincial Park,no,NA
Canada,Canada,Gulf Islands National Park Reserve Of Canada Draft Management Plan,2013,Gulf Islands National Park Reserve Of Canada,National Park,no,NA
Canada,Canada,Gully Marine Protected Area Management Plan,2007,Gully Marine Protected Area,Marine Protected Area,yes,5
Canada,Canada,Gwaii Haanas Gina ’Waadluxan KilGuhlGa Land-Sea-People Management Plan,2018,"Gwaii Haanas National Park Reserve, National Marine Conservation Area Reserve & Haida Heritage Site","National Park Reserve, National Marine Conservation Area Reserve & Haida Heritage Site",yes,NA
Canada,Canada,Ha'thayim Marine Provincial Park (a.k.a. Von Donop Marine Provincial Park) Purpose Statement and Zoning Plan,2003,Ha'thayim Marine Provincial Park (a.k.a. Von Donop Marine Provincial Park),Marine Provincial Park,no,NA
Canada,Canada,Halkett Bay Provincial Marine Park Master Plan,1989,Halkett Bay Provincial Marine Park,Provincial Marine Park,no,NA
Canada,Canada,Harmony Islands Marine Provincial Park Purpose Statement and Zoning Plan,2003,Harmony Islands Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Helliwell Provincial Park Purpose Statement and Zoning Plan,2003,Helliwell Provincial Park,Provincial Park,no,NA
