"","report","term","count"
"93","101683_Big Bunsby Marine Provincial Park_PS_ZP.pdf","extreme events",0
"94","101683_Big Bunsby Marine Provincial Park_PS_ZP.pdf","natural variability",0
"95","101683_Big Bunsby Marine Provincial Park_PS_ZP.pdf","climate variability",0
"96","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","climate change",0
"97","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","global warming",0
"98","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","extreme events",0
"99","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","natural variability",0
"100","101688_Dixie Cove Marine Provincial Park_PS_ZP.pdf","climate variability",0
"101","1017_Cape_Krusenstern_National_Monument.pdf","climate change",0
"102","1017_Cape_Krusenstern_National_Monument.pdf","global warming",0
"103","1017_Cape_Krusenstern_National_Monument.pdf","extreme events",0
"104","1017_Cape_Krusenstern_National_Monument.pdf","natural variability",0
"105","1017_Cape_Krusenstern_National_Monument.pdf","climate variability",0
"106","101705_Nuchatlitz Provincial Park_PS.pdf","climate change",0
"107","101705_Nuchatlitz Provincial Park_PS.pdf","global warming",0
"108","101705_Nuchatlitz Provincial Park_PS.pdf","extreme events",0
"109","101705_Nuchatlitz Provincial Park_PS.pdf","natural variability",0
"110","101705_Nuchatlitz Provincial Park_PS.pdf","climate variability",0
"111","101709_Santa Boca Provincial Park_PS_ZP.pdf","climate change",0
"112","101709_Santa Boca Provincial Park_PS_ZP.pdf","global warming",0
"113","101709_Santa Boca Provincial Park_PS_ZP.pdf","extreme events",0
"114","101709_Santa Boca Provincial Park_PS_ZP.pdf","natural variability",0
"115","101709_Santa Boca Provincial Park_PS_ZP.pdf","climate variability",0
"116","101713_Surge Narrows_PS_ZP.pdf","climate change",0
"117","101713_Surge Narrows_PS_ZP.pdf","global warming",0
"118","101713_Surge Narrows_PS_ZP.pdf","extreme events",0
"119","101713_Surge Narrows_PS_ZP.pdf","natural variability",0
"120","101713_Surge Narrows_PS_ZP.pdf","climate variability",0
"121","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","climate change",0
"122","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","global warming",0
"123","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","extreme events",0
"124","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","natural variability",0
"125","101721_Huchsduwachsdu Nuyem Jees-Kitlope Heritage Conservancy_MP.pdf","climate variability",0
"126","1024_Biscayne_National_Park.pdf","climate change",88
"127","1024_Biscayne_National_Park.pdf","global warming",0
"128","1024_Biscayne_National_Park.pdf","extreme events",0
"129","1024_Biscayne_National_Park.pdf","natural variability",2
"130","1024_Biscayne_National_Park.pdf","climate variability",0
"131","1047_Buck_Island_Reef_National_Monument.pdf","climate change",138
"132","1047_Buck_Island_Reef_National_Monument.pdf","global warming",0
"133","1047_Buck_Island_Reef_National_Monument.pdf","extreme events",0
"134","1047_Buck_Island_Reef_National_Monument.pdf","natural variability",2
"135","1047_Buck_Island_Reef_National_Monument.pdf","climate variability",1
"136","10561_Willapa.pdf","climate change",42
"137","10561_Willapa.pdf","global warming",3
"138","10561_Willapa.pdf","extreme events",0
"139","10561_Willapa.pdf","natural variability",1
"140","10561_Willapa.pdf","climate variability",2
"141","10564_Laguna Atascosa.pdf","climate change",11
"142","10564_Laguna Atascosa.pdf","global warming",0
"143","10564_Laguna Atascosa.pdf","extreme events",0
"144","10564_Laguna Atascosa.pdf","natural variability",0
"145","10564_Laguna Atascosa.pdf","climate variability",0
"146","10565_Chassahowitzka_Conservation plan.pdf","climate change",85
"147","10565_Chassahowitzka_Conservation plan.pdf","global warming",0
"148","10565_Chassahowitzka_Conservation plan.pdf","extreme events",0
"149","10565_Chassahowitzka_Conservation plan.pdf","natural variability",0
"150","10565_Chassahowitzka_Conservation plan.pdf","climate variability",1
"151","10569_CedarIsland_NWR.pdf","climate change",0
"152","10569_CedarIsland_NWR.pdf","global warming",3
"153","10569_CedarIsland_NWR.pdf","extreme events",0
"154","10569_CedarIsland_NWR.pdf","natural variability",0
"155","10569_CedarIsland_NWR.pdf","climate variability",0
"156","10570_PrimeHook.pdf","climate change",272
"157","10570_PrimeHook.pdf","global warming",3
"158","10570_PrimeHook.pdf","extreme events",0
"159","10570_PrimeHook.pdf","natural variability",0
"160","10570_PrimeHook.pdf","climate variability",0
"161","10572_PeaIsland_NWR.pdf","climate change",0
"162","10572_PeaIsland_NWR.pdf","global warming",0
"163","10572_PeaIsland_NWR.pdf","extreme events",0
"164","10572_PeaIsland_NWR.pdf","natural variability",0
"165","10572_PeaIsland_NWR.pdf","climate variability",0
"166","10573_MackayIsland_NWR.pdf","climate change",0
"167","10573_MackayIsland_NWR.pdf","global warming",3
"168","10573_MackayIsland_NWR.pdf","extreme events",0
"169","10573_MackayIsland_NWR.pdf","natural variability",0
"170","10573_MackayIsland_NWR.pdf","climate variability",0
"171","10574_PelicanIsland.pdf","climate change",1
"172","10574_PelicanIsland.pdf","global warming",1
"173","10574_PelicanIsland.pdf","extreme events",0
"174","10574_PelicanIsland.pdf","natural variability",0
"175","10574_PelicanIsland.pdf","climate variability",0
"176","1064_Gulf_Islands_National_Seashore.pdf","climate change",93
"177","1064_Gulf_Islands_National_Seashore.pdf","global warming",0
"178","1064_Gulf_Islands_National_Seashore.pdf","extreme events",0
"179","1064_Gulf_Islands_National_Seashore.pdf","natural variability",3
"180","1064_Gulf_Islands_National_Seashore.pdf","climate variability",0
"181","1065_Padre_Island_National_Seashore.pdf","climate change",0
"182","1065_Padre_Island_National_Seashore.pdf","global warming",0
"183","1065_Padre_Island_National_Seashore.pdf","extreme events",0
"184","1065_Padre_Island_National_Seashore.pdf","natural variability",0
